Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
BankLogin,Chrome 119.0.0.0,,,2023-11-29 17:02:38,2023-11-29 17:04:35,1m - 57.008s,PASSED
,,,,,,,
Test Cases/CustomerAlbusLogin,Chrome 119.0.0.0,,,2023-11-29 17:02:38,2023-11-29 17:02:56,17.618s,PASSED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-11-29 17:02:39,2023-11-29 17:02:43,4.565s,PASSED
"navigateToUrl(""https://www.globalsqa.com/angularJs-protractor/BankingProject/#/login"")",Chrome 119.0.0.0,,,2023-11-29 17:02:43,2023-11-29 17:02:46,2.997s,PASSED
maximizeWindow(),Chrome 119.0.0.0,,,2023-11-29 17:02:46,2023-11-29 17:02:47,0.188s,PASSED
"click(findTestObject(""Object Repository/CustomerAlbusLogin/Page_XYZ Bank/button_Customer Login""))",Chrome 119.0.0.0,,,2023-11-29 17:02:47,2023-11-29 17:02:48,1.209s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/CustomerAlbusLogin/Page_XYZ Bank/select_---Your Name---       Hermoine Grang_6e895b""), ""4"", true)",Chrome 119.0.0.0,,,2023-11-29 17:02:48,2023-11-29 17:02:49,1.735s,PASSED
"click(findTestObject(""Object Repository/CustomerAlbusLogin/Page_XYZ Bank/button_Login""))",Chrome 119.0.0.0,,,2023-11-29 17:02:49,2023-11-29 17:02:50,0.510s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/CustomerAlbusLogin/Page_XYZ Bank/select_101010111012""), ""number:1012"", true)",Chrome 119.0.0.0,,,2023-11-29 17:02:50,2023-11-29 17:02:51,1.485s,PASSED
"click(findTestObject(""Object Repository/CustomerAlbusLogin/Page_XYZ Bank/button_Deposit""))",Chrome 119.0.0.0,,,2023-11-29 17:02:51,2023-11-29 17:02:52,0.506s,PASSED
"setText(findTestObject(""Object Repository/CustomerAlbusLogin/Page_XYZ Bank/input_Amount to be Deposited_form-control n_97f4dd""), ""100"")",Chrome 119.0.0.0,,,2023-11-29 17:02:52,2023-11-29 17:02:54,2.095s,PASSED
"click(findTestObject(""Object Repository/CustomerAlbusLogin/Page_XYZ Bank/button_Deposit_1""))",Chrome 119.0.0.0,,,2023-11-29 17:02:54,2023-11-29 17:02:54,0.414s,PASSED
"click(findTestObject(""Object Repository/CustomerAlbusLogin/Page_XYZ Bank/button_Home""))",Chrome 119.0.0.0,,,2023-11-29 17:02:54,2023-11-29 17:02:55,0.537s,PASSED
closeBrowser(),Chrome 119.0.0.0,,,2023-11-29 17:02:55,2023-11-29 17:02:56,0.830s,PASSED
,,,,,,,
Test Cases/CustomerHarryLogin,Chrome 119.0.0.0,,,2023-11-29 17:02:56,2023-11-29 17:03:13,16.768s,PASSED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-11-29 17:02:57,2023-11-29 17:02:58,1.870s,PASSED
"navigateToUrl(""https://www.globalsqa.com/angularJs-protractor/BankingProject/#/login"")",Chrome 119.0.0.0,,,2023-11-29 17:02:58,2023-11-29 17:03:01,2.725s,PASSED
maximizeWindow(),Chrome 119.0.0.0,,,2023-11-29 17:03:01,2023-11-29 17:03:01,0.126s,PASSED
"click(findTestObject(""Object Repository/CutomerLoginHarry/Page_XYZ Bank/button_Customer Login""))",Chrome 119.0.0.0,,,2023-11-29 17:03:01,2023-11-29 17:03:03,1.397s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/CutomerLoginHarry/Page_XYZ Bank/select_---Your Name---       Hermoine Grang_6e895b""), ""2"", true)",Chrome 119.0.0.0,,,2023-11-29 17:03:03,2023-11-29 17:03:05,2.718s,PASSED
"click(findTestObject(""Object Repository/CutomerLoginHarry/Page_XYZ Bank/button_Login""))",Chrome 119.0.0.0,,,2023-11-29 17:03:05,2023-11-29 17:03:06,0.450s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/CutomerLoginHarry/Page_XYZ Bank/select_100410051006""), ""number:1005"", true)",Chrome 119.0.0.0,,,2023-11-29 17:03:06,2023-11-29 17:03:07,1.620s,PASSED
"click(findTestObject(""Object Repository/CutomerLoginHarry/Page_XYZ Bank/button_Deposit""))",Chrome 119.0.0.0,,,2023-11-29 17:03:07,2023-11-29 17:03:08,0.478s,PASSED
"setText(findTestObject(""Object Repository/CutomerLoginHarry/Page_XYZ Bank/input_Amount to be Deposited_form-control n_97f4dd""), ""1500"")",Chrome 119.0.0.0,,,2023-11-29 17:03:08,2023-11-29 17:03:11,3.022s,PASSED
"click(findTestObject(""Object Repository/CutomerLoginHarry/Page_XYZ Bank/button_Deposit_1""))",Chrome 119.0.0.0,,,2023-11-29 17:03:11,2023-11-29 17:03:11,0.404s,PASSED
"click(findTestObject(""Object Repository/CutomerLoginHarry/Page_XYZ Bank/button_Logout""))",Chrome 119.0.0.0,,,2023-11-29 17:03:11,2023-11-29 17:03:12,0.533s,PASSED
closeBrowser(),Chrome 119.0.0.0,,,2023-11-29 17:03:12,2023-11-29 17:03:13,0.763s,PASSED
,,,,,,,
Test Cases/CustomerNevilleLogin,Chrome 119.0.0.0,,,2023-11-29 17:03:13,2023-11-29 17:03:27,14.103s,PASSED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-11-29 17:03:13,2023-11-29 17:03:15,1.636s,PASSED
"navigateToUrl(""https://www.globalsqa.com/angularJs-protractor/BankingProject/#/login"")",Chrome 119.0.0.0,,,2023-11-29 17:03:15,2023-11-29 17:03:17,2.586s,PASSED
maximizeWindow(),Chrome 119.0.0.0,,,2023-11-29 17:03:17,2023-11-29 17:03:18,0.127s,PASSED
"click(findTestObject(""Object Repository/CustomerNevilleLogin/Page_XYZ Bank/button_Customer Login""))",Chrome 119.0.0.0,,,2023-11-29 17:03:18,2023-11-29 17:03:19,1.320s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/CustomerNevilleLogin/Page_XYZ Bank/select_---Your Name---       Hermoine Grang_6e895b""), ""5"", true)",Chrome 119.0.0.0,,,2023-11-29 17:03:19,2023-11-29 17:03:21,1.807s,PASSED
"click(findTestObject(""Object Repository/CustomerNevilleLogin/Page_XYZ Bank/button_Login""))",Chrome 119.0.0.0,,,2023-11-29 17:03:21,2023-11-29 17:03:21,0.421s,PASSED
