Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"selectOptionByValue(findTestObject(""Object Repository/CustomerNevilleLogin/Page_XYZ Bank/select_101310141015""), ""number:1014"", true)",Chrome 119.0.0.0,,,2023-11-29 17:13:06,2023-11-29 17:13:07,1.518s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/CustomerNevilleLogin/Page_XYZ Bank/select_101310141015""), ""number:1015"", true)",Chrome 119.0.0.0,,,2023-11-29 17:13:07,2023-11-29 17:13:08,1.105s,PASSED
"click(findTestObject(""Object Repository/CustomerNevilleLogin/Page_XYZ Bank/button_Transactions""))",Chrome 119.0.0.0,,,2023-11-29 17:13:08,2023-11-29 17:13:09,0.462s,PASSED
"click(findTestObject(""Object Repository/CustomerNevilleLogin/Page_XYZ Bank/button_Logout""))",Chrome 119.0.0.0,,,2023-11-29 17:13:09,2023-11-29 17:13:10,1.025s,PASSED
"click(findTestObject(""Object Repository/CustomerNevilleLogin/Page_XYZ Bank/button_Home""))",Chrome 119.0.0.0,,,2023-11-29 17:13:10,2023-11-29 17:13:10,0.493s,PASSED
closeBrowser(),Chrome 119.0.0.0,,,2023-11-29 17:13:10,2023-11-29 17:13:11,0.738s,PASSED
,,,,,,,
Test Cases/CustomerRonLogin,Chrome 119.0.0.0,,,2023-11-29 17:13:11,2023-11-29 17:13:26,14.742s,PASSED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-11-29 17:13:12,2023-11-29 17:13:13,1.240s,PASSED
"navigateToUrl(""https://www.globalsqa.com/angularJs-protractor/BankingProject/#/login"")",Chrome 119.0.0.0,,,2023-11-29 17:13:13,2023-11-29 17:13:15,1.906s,PASSED
maximizeWindow(),Chrome 119.0.0.0,,,2023-11-29 17:13:15,2023-11-29 17:13:15,0.133s,PASSED
"click(findTestObject(""Object Repository/CustomerRonLogin/Page_XYZ Bank/button_Customer Login""))",Chrome 119.0.0.0,,,2023-11-29 17:13:15,2023-11-29 17:13:16,1.101s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/CustomerRonLogin/Page_XYZ Bank/select_---Your Name---       Hermoine Grang_6e895b""), ""3"", true)",Chrome 119.0.0.0,,,2023-11-29 17:13:16,2023-11-29 17:13:18,1.666s,PASSED
"click(findTestObject(""Object Repository/CustomerRonLogin/Page_XYZ Bank/button_Login""))",Chrome 119.0.0.0,,,2023-11-29 17:13:18,2023-11-29 17:13:18,0.389s,PASSED
"click(findTestObject(""Object Repository/CustomerRonLogin/Page_XYZ Bank/button_Withdrawl""))",Chrome 119.0.0.0,,,2023-11-29 17:13:18,2023-11-29 17:13:20,1.600s,PASSED
"setText(findTestObject(""Object Repository/CustomerRonLogin/Page_XYZ Bank/input_Amount to be Withdrawn_form-control n_bccfe0""), ""1000"")",Chrome 119.0.0.0,,,2023-11-29 17:13:20,2023-11-29 17:13:21,1.350s,PASSED
"click(findTestObject(""Object Repository/CustomerRonLogin/Page_XYZ Bank/button_Withdraw""))",Chrome 119.0.0.0,,,2023-11-29 17:13:21,2023-11-29 17:13:21,0.413s,PASSED
"click(findTestObject(""Object Repository/CustomerRonLogin/Page_XYZ Bank/span_Transaction Failed. You can not withdr_4b9636""))",Chrome 119.0.0.0,,,2023-11-29 17:13:21,2023-11-29 17:13:22,0.545s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/CustomerRonLogin/Page_XYZ Bank/select_100710081009""), ""number:1008"", true)",Chrome 119.0.0.0,,,2023-11-29 17:13:22,2023-11-29 17:13:23,1.036s,PASSED
"click(findTestObject(""Object Repository/CustomerRonLogin/Page_XYZ Bank/button_Transactions""))",Chrome 119.0.0.0,,,2023-11-29 17:13:23,2023-11-29 17:13:23,0.509s,PASSED
"click(findTestObject(""Object Repository/CustomerRonLogin/Page_XYZ Bank/button_Back""))",Chrome 119.0.0.0,,,2023-11-29 17:13:23,2023-11-29 17:13:24,1.059s,PASSED
"click(findTestObject(""Object Repository/CustomerRonLogin/Page_XYZ Bank/button_Home""))",Chrome 119.0.0.0,,,2023-11-29 17:13:24,2023-11-29 17:13:25,0.518s,PASSED
closeBrowser(),Chrome 119.0.0.0,,,2023-11-29 17:13:25,2023-11-29 17:13:26,0.791s,PASSED
,,,,,,,
Test Cases/CustomerSearchManager,Chrome 119.0.0.0,,,2023-11-29 17:13:26,2023-11-29 17:13:37,11.100s,PASSED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-11-29 17:13:26,2023-11-29 17:13:28,1.320s,PASSED
"navigateToUrl(""https://www.globalsqa.com/angularJs-protractor/BankingProject/#/login"")",Chrome 119.0.0.0,,,2023-11-29 17:13:28,2023-11-29 17:13:29,1.828s,PASSED
maximizeWindow(),Chrome 119.0.0.0,,,2023-11-29 17:13:29,2023-11-29 17:13:30,0.144s,PASSED
"click(findTestObject(""Object Repository/CustomerSearchManager/Page_XYZ Bank/button_Bank Manager Login""))",Chrome 119.0.0.0,,,2023-11-29 17:13:30,2023-11-29 17:13:31,1.035s,PASSED
"click(findTestObject(""Object Repository/CustomerSearchManager/Page_XYZ Bank/button_Customers""))",Chrome 119.0.0.0,,,2023-11-29 17:13:31,2023-11-29 17:13:32,0.940s,PASSED
"setText(findTestObject(""Object Repository/CustomerSearchManager/Page_XYZ Bank/input_Customers_form-control ng-pristine ng_ffe1ed""), ""Test"")",Chrome 119.0.0.0,,,2023-11-29 17:13:32,2023-11-29 17:13:33,1.506s,PASSED
"click(findTestObject(""Object Repository/CustomerSearchManager/Page_XYZ Bank/input_Customers_form-control ng-pristine ng_ffe1ed""))",Chrome 119.0.0.0,,,2023-11-29 17:13:33,2023-11-29 17:13:34,0.537s,PASSED
"clearText(findTestObject(""Object Repository/CustomerSearchManager/Page_XYZ Bank/input_Customers_form-control ng-pristine ng_ffe1ed""))",Chrome 119.0.0.0,,,2023-11-29 17:13:34,2023-11-29 17:13:34,0.420s,PASSED
"click(findTestObject(""Object Repository/CustomerSearchManager/Page_XYZ Bank/div_Customers_input-group-addon""))",Chrome 119.0.0.0,,,2023-11-29 17:13:34,2023-11-29 17:13:35,0.480s,PASSED
"setText(findTestObject(""Object Repository/CustomerSearchManager/Page_XYZ Bank/input_Customers_form-control ng-pristine ng_ffe1ed""), ""Harry"")",Chrome 119.0.0.0,,,2023-11-29 17:13:35,2023-11-29 17:13:35,0.683s,PASSED
"sendKeys(findTestObject(""Object Repository/CustomerSearchManager/Page_XYZ Bank/input_Customers_form-control ng-pristine ng_ffe1ed""), Keys.chord(ENTER))",Chrome 119.0.0.0,,,2023-11-29 17:13:35,2023-11-29 17:13:36,0.531s,PASSED
"click(findTestObject(""Object Repository/CustomerSearchManager/Page_XYZ Bank/button_Home""))",Chrome 119.0.0.0,,,2023-11-29 17:13:36,2023-11-29 17:13:36,0.417s,PASSED
closeBrowser(),Chrome 119.0.0.0,,,2023-11-29 17:13:36,2023-11-29 17:13:37,0.699s,PASSED
,,,,,,,
Test Cases/GlobalsQACustomer,Chrome 119.0.0.0,,,2023-11-29 17:13:37,2023-11-29 17:13:49,12.276s,PASSED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-11-29 17:13:37,2023-11-29 17:13:39,1.292s,PASSED
"navigateToUrl(""https://www.globalsqa.com/angularJs-protractor/BankingProject/#/login"")",Chrome 119.0.0.0,,,2023-11-29 17:13:39,2023-11-29 17:13:42,2.965s,PASSED
maximizeWindow(),Chrome 119.0.0.0,,,2023-11-29 17:13:42,2023-11-29 17:13:42,0.135s,PASSED
"click(findTestObject(""Object Repository/HermaineCustomer/Page_XYZ Bank/button_Customer Login""))",Chrome 119.0.0.0,,,2023-11-29 17:13:42,2023-11-29 17:13:43,1.297s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/HermaineCustomer/Page_XYZ Bank/select_---Your Name---       Hermoine Grang_6e895b""), ""1"", true)",Chrome 119.0.0.0,,,2023-11-29 17:13:43,2023-11-29 17:13:45,1.643s,PASSED
"click(findTestObject(""Object Repository/HermaineCustomer/Page_XYZ Bank/button_Login""))",Chrome 119.0.0.0,,,2023-11-29 17:13:45,2023-11-29 17:13:45,0.379s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/HermaineCustomer/Page_XYZ Bank/select_100110021003""), ""number:1002"", true)",Chrome 119.0.0.0,,,2023-11-29 17:13:45,2023-11-29 17:13:47,1.669s,PASSED
"click(findTestObject(""Object Repository/HermaineCustomer/Page_XYZ Bank/button_Transactions""))",Chrome 119.0.0.0,,,2023-11-29 17:13:47,2023-11-29 17:13:47,0.462s,PASSED
