Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
BankLogin,Chrome 119.0.0.0,,,2023-11-29 17:05:42,2023-11-29 17:07:31,1m - 49.296s,PASSED
,,,,,,,
Test Cases/CustomerAlbusLogin,Chrome 119.0.0.0,,,2023-11-29 17:05:43,2023-11-29 17:06:00,17.349s,PASSED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-11-29 17:05:43,2023-11-29 17:05:47,3.564s,PASSED
"navigateToUrl(""https://www.globalsqa.com/angularJs-protractor/BankingProject/#/login"")",Chrome 119.0.0.0,,,2023-11-29 17:05:47,2023-11-29 17:05:49,2.567s,PASSED
maximizeWindow(),Chrome 119.0.0.0,,,2023-11-29 17:05:49,2023-11-29 17:05:49,0.144s,PASSED
"click(findTestObject(""Object Repository/CustomerAlbusLogin/Page_XYZ Bank/button_Customer Login""))",Chrome 119.0.0.0,,,2023-11-29 17:05:49,2023-11-29 17:05:52,2.070s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/CustomerAlbusLogin/Page_XYZ Bank/select_---Your Name---       Hermoine Grang_6e895b""), ""4"", true)",Chrome 119.0.0.0,,,2023-11-29 17:05:52,2023-11-29 17:05:54,2.013s,PASSED
"click(findTestObject(""Object Repository/CustomerAlbusLogin/Page_XYZ Bank/button_Login""))",Chrome 119.0.0.0,,,2023-11-29 17:05:54,2023-11-29 17:05:54,0.455s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/CustomerAlbusLogin/Page_XYZ Bank/select_101010111012""), ""number:1012"", true)",Chrome 119.0.0.0,,,2023-11-29 17:05:54,2023-11-29 17:05:56,1.865s,PASSED
"click(findTestObject(""Object Repository/CustomerAlbusLogin/Page_XYZ Bank/button_Deposit""))",Chrome 119.0.0.0,,,2023-11-29 17:05:56,2023-11-29 17:05:56,0.521s,PASSED
"setText(findTestObject(""Object Repository/CustomerAlbusLogin/Page_XYZ Bank/input_Amount to be Deposited_form-control n_97f4dd""), ""100"")",Chrome 119.0.0.0,,,2023-11-29 17:05:56,2023-11-29 17:05:58,1.812s,PASSED
"click(findTestObject(""Object Repository/CustomerAlbusLogin/Page_XYZ Bank/button_Deposit_1""))",Chrome 119.0.0.0,,,2023-11-29 17:05:58,2023-11-29 17:05:59,0.399s,PASSED
"click(findTestObject(""Object Repository/CustomerAlbusLogin/Page_XYZ Bank/button_Home""))",Chrome 119.0.0.0,,,2023-11-29 17:05:59,2023-11-29 17:05:59,0.549s,PASSED
closeBrowser(),Chrome 119.0.0.0,,,2023-11-29 17:05:59,2023-11-29 17:06:00,0.761s,PASSED
,,,,,,,
Test Cases/CustomerHarryLogin,Chrome 119.0.0.0,,,2023-11-29 17:06:00,2023-11-29 17:06:15,14.974s,PASSED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-11-29 17:06:00,2023-11-29 17:06:02,1.280s,PASSED
"navigateToUrl(""https://www.globalsqa.com/angularJs-protractor/BankingProject/#/login"")",Chrome 119.0.0.0,,,2023-11-29 17:06:02,2023-11-29 17:06:04,2.217s,PASSED
maximizeWindow(),Chrome 119.0.0.0,,,2023-11-29 17:06:04,2023-11-29 17:06:04,0.134s,PASSED
"click(findTestObject(""Object Repository/CutomerLoginHarry/Page_XYZ Bank/button_Customer Login""))",Chrome 119.0.0.0,,,2023-11-29 17:06:04,2023-11-29 17:06:06,1.434s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/CutomerLoginHarry/Page_XYZ Bank/select_---Your Name---       Hermoine Grang_6e895b""), ""2"", true)",Chrome 119.0.0.0,,,2023-11-29 17:06:06,2023-11-29 17:06:07,1.733s,PASSED
"click(findTestObject(""Object Repository/CutomerLoginHarry/Page_XYZ Bank/button_Login""))",Chrome 119.0.0.0,,,2023-11-29 17:06:07,2023-11-29 17:06:08,0.418s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/CutomerLoginHarry/Page_XYZ Bank/select_100410051006""), ""number:1005"", true)",Chrome 119.0.0.0,,,2023-11-29 17:06:08,2023-11-29 17:06:11,3.249s,PASSED
"click(findTestObject(""Object Repository/CutomerLoginHarry/Page_XYZ Bank/button_Deposit""))",Chrome 119.0.0.0,,,2023-11-29 17:06:11,2023-11-29 17:06:11,0.503s,PASSED
"setText(findTestObject(""Object Repository/CutomerLoginHarry/Page_XYZ Bank/input_Amount to be Deposited_form-control n_97f4dd""), ""1500"")",Chrome 119.0.0.0,,,2023-11-29 17:06:11,2023-11-29 17:06:13,1.735s,PASSED
"click(findTestObject(""Object Repository/CutomerLoginHarry/Page_XYZ Bank/button_Deposit_1""))",Chrome 119.0.0.0,,,2023-11-29 17:06:13,2023-11-29 17:06:14,0.411s,PASSED
