Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
BankLogin,Chrome 119.0.0.0,,,2023-11-29 18:14:39,2023-11-29 18:16:51,2m - 12.259s,PASSED
,,,,,,,
Test Cases/CustomerAlbusLogin,Chrome 119.0.0.0,,,2023-11-29 18:14:39,2023-11-29 18:15:01,22.293s,PASSED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-11-29 18:14:40,2023-11-29 18:14:45,5.521s,PASSED
"navigateToUrl(""https://www.globalsqa.com/angularJs-protractor/BankingProject/#/login"")",Chrome 119.0.0.0,,,2023-11-29 18:14:45,2023-11-29 18:14:49,3.524s,PASSED
maximizeWindow(),Chrome 119.0.0.0,,,2023-11-29 18:14:49,2023-11-29 18:14:49,0.183s,PASSED
"click(findTestObject(""Object Repository/CustomerAlbusLogin/Page_XYZ Bank/button_Customer Login""))",Chrome 119.0.0.0,,,2023-11-29 18:14:49,2023-11-29 18:14:52,3.482s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/CustomerAlbusLogin/Page_XYZ Bank/select_---Your Name---       Hermoine Grang_6e895b""), ""4"", true)",Chrome 119.0.0.0,,,2023-11-29 18:14:52,2023-11-29 18:14:55,2.286s,PASSED
"click(findTestObject(""Object Repository/CustomerAlbusLogin/Page_XYZ Bank/button_Login""))",Chrome 119.0.0.0,,,2023-11-29 18:14:55,2023-11-29 18:14:55,0.467s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/CustomerAlbusLogin/Page_XYZ Bank/select_101010111012""), ""number:1012"", true)",Chrome 119.0.0.0,,,2023-11-29 18:14:55,2023-11-29 18:14:58,2.576s,PASSED
"click(findTestObject(""Object Repository/CustomerAlbusLogin/Page_XYZ Bank/button_Deposit""))",Chrome 119.0.0.0,,,2023-11-29 18:14:58,2023-11-29 18:14:58,0.521s,PASSED
